date,location,type,redd_count,salmon_count,depth_m,pot_depth_m,velocity,percent_fine_substrate,percent_small_substrate,percent_medium_substrate,percent_large_substrate,percent_boulder,redd_width_m,redd_length_m,latitude,longitude
2009-10-20,Cottonwood,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,3,3,0.4,0.48,1.3123360000000002,5,20,40,30,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,0,0.24,0.4,3.6417324000000004,0,50,50,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,1,0.9,0.92,1.8700788,10,25,50,15,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Cottonwood,Area,2,0,0.75,0.84,3.0183728000000003,5,50,45,NA,NA,NA,NA,NA,NA
2009-10-20,Moes Ditch,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Moes Ditch,Area,1,2,0.2,0.26,2.4934384,0,50,50,0,0,NA,NA,NA,NA
2009-10-20,Hatchery Ditch,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Hatchery Ditch,Area,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-20,Hatchery Ditch,Area,2,3,0.2,0.31,0.7217848,30,30,30,5,5,NA,NA,NA,NA
2009-10-20,Hatchery Ditch,Area,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.64,0.78,3.1496063999999997,10,10,20,30,30,NA,NA,NA,NA
