location,date,longitude,latitude,channel_location
Lower Hour,2024-10-23T00:00:00Z,-121.62781048,39.41621372,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62784764,39.41642841,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62733988,39.41734774,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62744866,39.41724449,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62769957,39.41712472,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62725082,39.41556479,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62698346,39.41559767,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62722619,39.41571046,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62690784,39.41571186,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62695083,39.41596334,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.6269196,39.41595049,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62663097,39.41598524,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62688183,39.41611118,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.6268398,39.41629483,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62696137,39.41726259,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62699723,39.41727116,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62767155,39.41721554,HFC
Lower Hour,2024-11-07T00:00:00Z,-121.62746828,39.41729624,HFC
Lower Hour,2024-11-19T00:00:00Z,-121.62707259,39.41566123,HFC
Lower Hour,2024-11-19T00:00:00Z,-121.62736735,39.41723103,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63265269,39.37403687,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63287927,39.37389083,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63278912,39.37380695,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63299884,39.37370166,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63296939,39.37368262,HFC
Lower McFarland,2024-10-22T00:00:00Z,-121.63308178,39.37356728,HFC
Lower McFarland,2024-11-08T00:00:00Z,-121.63308172,39.37345241,HFC
Lower McFarland,2024-11-08T00:00:00Z,-121.63301076,39.37366266,HFC
Lower McFarland,2024-11-18T00:00:00Z,-121.63275026,39.3739172,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.63607713,39.44837511,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.63619278,39.44828739,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.63610882,39.44828001,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.63605339,39.44824171,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.63618403,39.44815072,HFC
Lower Vance East,2024-10-24T00:00:00Z,-121.6362028,39.4481972,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62490274,39.42194908,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62498687,39.42197194,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62496275,39.42202533,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62490586,39.42209423,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.624942,39.42212514,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.6250394,39.42212497,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62488545,39.42226363,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62522569,39.42225374,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62526596,39.42203024,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62539216,39.42204299,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.6255323,39.42191146,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62489442,39.42241549,HFC
Upper Hour,2024-10-23T00:00:00Z,-121.62497805,39.42195509,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62493462,39.42197861,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.6249177,39.42205727,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62489032,39.4221464,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62489621,39.42218401,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62489048,39.42220837,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62483397,39.42239499,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62528163,39.42209571,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62522304,39.42222099,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.6255774,39.42170819,HFC
Upper Hour,2024-11-07T00:00:00Z,-121.62558727,39.4217346,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63347707,39.3791014,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63325382,39.37942732,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63328899,39.37948591,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63336493,39.3795904,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63333992,39.3795975,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63327666,39.37969543,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.6336154,39.37969913,HFC
Upper McFarland,2024-10-22T00:00:00Z,-121.63359873,39.37971739,HFC
Upper McFarland,2024-11-08T00:00:00Z,-121.63320712,39.37942271,HFC
Upper McFarland,2024-11-08T00:00:00Z,-121.63337795,39.37900879,HFC
Upper McFarland,2024-11-18T00:00:00Z,-121.63340883,39.3790402,HFC
Vance East,2024-10-24T00:00:00Z,-121.63822696,39.4512449,HFC
Vance East,2024-10-24T00:00:00Z,-121.63778208,39.45126306,HFC
Vance East,2024-10-24T00:00:00Z,-121.63744852,39.45105938,HFC
Vance East,2024-10-24T00:00:00Z,-121.63732506,39.45097675,HFC
Vance East,2024-10-24T00:00:00Z,-121.63736457,39.45097826,HFC
Vance East,2024-10-24T00:00:00Z,-121.63702394,39.45088941,HFC
Vance East,2024-10-24T00:00:00Z,-121.63689993,39.45079525,HFC
Vance East,2024-10-24T00:00:00Z,-121.63687731,39.45081778,HFC
Vance East,2024-10-24T00:00:00Z,-121.63680873,39.45074894,HFC
Vance East,2024-10-24T00:00:00Z,-121.63671484,39.45074224,HFC
Vance East,2024-10-24T00:00:00Z,-121.63671085,39.45069957,HFC
Vance East,2024-10-24T00:00:00Z,-121.63665775,39.4506283,HFC
Vance East,2024-10-24T00:00:00Z,-121.63663996,39.4506008,HFC
Vance East,2024-10-24T00:00:00Z,-121.6366752,39.45054962,HFC
Vance East,2024-10-24T00:00:00Z,-121.63661817,39.45070447,HFC
Vance East,2024-10-24T00:00:00Z,-121.63812208,39.45092915,HFC
Vance East,2024-10-24T00:00:00Z,-121.63802224,39.45092176,HFC
Vance East,2024-10-24T00:00:00Z,-121.63834439,39.45130355,HFC
Vance East,2024-11-07T00:00:00Z,-121.63806414,39.45144218,HFC
Vance East,2024-11-07T00:00:00Z,-121.63795671,39.45134863,HFC
Vance East,2024-11-07T00:00:00Z,-121.63785382,39.45125455,HFC
Vance East,2024-11-07T00:00:00Z,-121.63777658,39.45123612,HFC
Vance East,2024-11-07T00:00:00Z,-121.63727646,39.45094695,HFC
Vance East,2024-11-07T00:00:00Z,-121.63728074,39.45092494,HFC
Vance East,2024-11-07T00:00:00Z,-121.63701987,39.45075217,HFC
Vance East,2024-11-07T00:00:00Z,-121.63699117,39.450814630000004,HFC
Vance East,2024-11-07T00:00:00Z,-121.63659324,39.45062305,HFC
Vance East,2024-11-07T00:00:00Z,-121.63667203,39.45066248,HFC
Vance East,2024-11-07T00:00:00Z,-121.6365303,39.45041372,HFC
Vance East,2024-11-07T00:00:00Z,-121.63647545,39.45035812,HFC
Vance East,2024-11-19T00:00:00Z,-121.63737772,39.4509287,HFC
Vance East,2024-11-19T00:00:00Z,-121.6376935,39.45075184,HFC
Vance East,2024-11-19T00:00:00Z,-121.63788627,39.45129056,HFC
Vance East,2024-11-19T00:00:00Z,-121.63751043,39.45105252,HFC
Vance East,2024-11-19T00:00:00Z,-121.63680427,39.45069345,HFC
Vance West,2024-10-24T00:00:00Z,-121.63884193,39.45110602,HFC
Vance West,2024-10-24T00:00:00Z,-121.63906328,39.45081837,HFC
Vance West,2024-10-24T00:00:00Z,-121.63887147,39.45055479,HFC
Vance West,2024-10-24T00:00:00Z,-121.63875007,39.45072197,HFC
Vance West,2024-11-07T00:00:00Z,-121.63906706,39.45032203,HFC
Aleck,2024-09-24T00:00:00Z,-121.57906114,39.48362096,LFC
Aleck,2024-09-24T00:00:00Z,-121.5791202,39.48357941,LFC
Aleck,2024-09-24T00:00:00Z,-121.57894662,39.48388117,LFC
Aleck,2024-09-24T00:00:00Z,-121.57895709,39.48391448,LFC
Aleck,2024-10-02T00:00:00Z,-121.57896066,39.48382162,LFC
Aleck,2024-10-02T00:00:00Z,-121.57895803,39.48378603,LFC
Aleck,2024-10-02T00:00:00Z,-121.57905511,39.48363461,LFC
Aleck,2024-10-16T00:00:00Z,-121.5790639,39.4840118,LFC
Aleck,2024-10-16T00:00:00Z,-121.57888246,39.48377817,LFC
Aleck,2024-10-16T00:00:00Z,-121.57888593,39.48374825,LFC
Aleck,2024-10-16T00:00:00Z,-121.57891293,39.48368864,LFC
Aleck,2024-10-16T00:00:00Z,-121.57894128,39.4836679,LFC
Aleck,2024-10-16T00:00:00Z,-121.57889085,39.48354187,LFC
Aleck,2024-10-16T00:00:00Z,-121.57898104,39.48343865,LFC
Aleck,2024-10-16T00:00:00Z,-121.57932826,39.4835844,LFC
Aleck,2024-10-16T00:00:00Z,-121.57909093,39.48349326,LFC
Aleck,2024-10-30T00:00:00Z,-121.57903015,39.48421564,LFC
Aleck,2024-10-30T00:00:00Z,-121.57899975,39.48422527,LFC
Aleck,2024-10-30T00:00:00Z,-121.57899597,39.48416567,LFC
Aleck,2024-10-30T00:00:00Z,-121.57904422,39.48414444,LFC
Aleck,2024-10-30T00:00:00Z,-121.57904063,39.48407552,LFC
Aleck,2024-10-30T00:00:00Z,-121.57905274,39.48404294,LFC
Aleck,2024-10-30T00:00:00Z,-121.57901829,39.48403479,LFC
Aleck,2024-10-30T00:00:00Z,-121.57908732,39.4840154,LFC
Aleck,2024-10-30T00:00:00Z,-121.57902444,39.48397758,LFC
Aleck,2024-10-30T00:00:00Z,-121.57893454,39.48398444,LFC
Aleck,2024-10-30T00:00:00Z,-121.57892996,39.48393574,LFC
Aleck,2024-10-30T00:00:00Z,-121.5790388,39.48390593,LFC
Aleck,2024-10-30T00:00:00Z,-121.57885437,39.48388799,LFC
Aleck,2024-10-30T00:00:00Z,-121.57894292,39.48384657,LFC
Aleck,2024-10-30T00:00:00Z,-121.57885572,39.48382187,LFC
Aleck,2024-10-30T00:00:00Z,-121.57881501,39.48376136,LFC
Aleck,2024-10-30T00:00:00Z,-121.57877085,39.48378355,LFC
Aleck,2024-10-30T00:00:00Z,-121.578689,39.48379846,LFC
Aleck,2024-10-30T00:00:00Z,-121.57912387,39.48381946,LFC
Aleck,2024-10-30T00:00:00Z,-121.57907133,39.48387883,LFC
Aleck,2024-10-30T00:00:00Z,-121.57900632,39.48381575,LFC
Aleck,2024-10-30T00:00:00Z,-121.5788459,39.48375651,LFC
Aleck,2024-10-30T00:00:00Z,-121.57873304,39.48373877,LFC
Aleck,2024-10-30T00:00:00Z,-121.57876917,39.48372193,LFC
Aleck,2024-10-30T00:00:00Z,-121.57871057,39.4837044,LFC
