area_sq_m,unit,unit_sub_level,latitude,longitude
5371.722755,440,,39.37965464,-121.6327095
8359.100982,441,,39.3782408,-121.6331217
3933.967379,442,,39.37870681,-121.6332063
17227.10713,444,,39.37756201,-121.6325568
14661.43271,445,,39.37718368,-121.6322812
5470.631347,446,,39.37477512,-121.6323886
12401.25556,447,,39.37516841,-121.6320062
7534.047493,448,,39.37479025,-121.6318592
6118.044462,448,A,39.37573964,-121.6312181
6225.115852,449,,39.37328528,-121.6345273
13905.24758,450,,39.3730263,-121.6338026
15874.88307,451,,39.37276495,-121.633726
11106.28391,454,,39.3740306,-121.6346043
8955.263509,455,,39.37436621,-121.6356723
23140.36186,456,,39.37400015,-121.636386
8583.341846,457,,39.37381024,-121.6372203
26890.39827,458,,39.37446754,-121.6410984
53898.33639,459,,39.37401586,-121.6417344
30053.59817,460,,39.37366364,-121.641353
29763.85646,461,,39.37313694,-121.6484753
55310.76202,462,,39.37315477,-121.6470574
21791.96608,463,,39.37273622,-121.6467865
19883.09206,464,,39.36901413,-121.6486423
42628.1222,465,,39.36763576,-121.6474291
28620.95872,466,,39.36897176,-121.6478456
14155.32526,467,,39.36418116,-121.644673
42428.7465,468,,39.3642959,-121.6441855
12495.05557,469,,39.36448142,-121.6437973
12322.42096,470,,39.36177821,-121.641137
53291.17327,471,,39.36214638,-121.6407352
16426.83782,472,,39.36248735,-121.6403013
14184.15206,473,,39.35909523,-121.6380692
45480.7107,474,,39.35949127,-121.6377058
18028.77992,475,,39.35982027,-121.6373041
20429.1831,476,,39.35678445,-121.636776
38506.9243,477,,39.35678528,-121.6358896
12131.50683,478,,39.3571428,-121.6353973
13377.36701,479,,39.35439272,-121.6335495
31334.76661,480,,39.35462891,-121.6332585
14323.58932,481,,39.35478815,-121.6328406
13863.14639,482,,39.35595227,-121.6316749
16556.32286,483,,39.3525158,-121.6290197
27935.00073,484,,39.35274315,-121.6289089
6025.918244,485,,39.35286066,-121.62852
11683.50161,486,,39.35534449,-121.6295442
10020.34742,487,,39.35564191,-121.6290393
10517.35984,488,,39.35440736,-121.6297669
7092.563152,489,,39.35338437,-121.626764
15776.50045,490,,39.35361627,-121.6265962
9993.662413,491,,39.35413127,-121.6264735
17656.87684,492,,39.3523713,-121.6245567
13016.2429,493,,39.35004473,-121.6250464
25883.35539,494,,39.35241793,-121.6258038
7808.640141,495,,39.35213194,-121.6250795
8432.878453,496,,39.34864594,-121.6259771
44295.41456,497,,39.34824543,-121.6257002
12225.61066,498,,39.34829465,-121.6250535
14336.37944,499,,39.34725068,-121.6278986
17694.61019,500,,39.34328002,-121.6280556
3393.375666,501,,39.34679672,-121.6274438
10786.54869,502,,39.34548564,-121.626864
3452.404255,503,,39.34581651,-121.6276406
24423.61318,504,,39.34479112,-121.6269092
9165.297207,505,,39.34493062,-121.6265775
1584.920329,506,,39.34494351,-121.6272176
3204.818368,507,,39.34464932,-121.6274029
13645.79097,508,,39.34021984,-121.6286766
67118.93778,509,,39.34123654,-121.627914
20039.77142,510,,39.33904266,-121.6281174
8471.317492,510,,39.33622926,-121.6312651
3768.101661,511,,39.34233209,-121.6282949
11424.87425,512,,39.33797634,-121.6313071
51799.86346,513,,39.33708794,-121.6309497
1550.864491,515,,39.33786629,-121.6308194
3564.689968,516,,39.33758349,-121.6310311
15146.63117,517,,39.33286398,-121.6328446
41658.24963,518,,39.33233056,-121.6322809
18369.71818,519,,39.33272815,-121.6319177
13855.64868,520,,39.32861738,-121.6303518
20448.41819,521,,39.32894794,-121.630157
12947.20054,522,,39.32929862,-121.6301387
10371.93366,523,,39.33124994,-121.62995
14654.54177,524,,39.33120396,-121.6296577
15679.86053,525,,39.33145771,-121.6295299
15391.78544,526,,39.32660338,-121.6261036
57077.41054,527,,39.32690271,-121.625487
19042.06452,528,,39.32740099,-121.6253807
9201.205339,529,,39.32395917,-121.6229058
40742.23301,530,,39.32425245,-121.6224576
10640.67587,531,,39.32468641,-121.6221151
9003.309438,532,,39.32164085,-121.6212806
32901.38391,533,,39.32197199,-121.6209177
9970.642096,534,,39.32206736,-121.6204306
10341.06426,535,,39.31803768,-121.622652
11240.79442,536,,39.31801849,-121.6224282
9533.459128,537,,39.31834886,-121.6207325
49715.16006,538,,39.31788485,-121.620268
20949.12078,539,,39.317039,-121.6200211
7584.986812,540,,39.31683483,-121.622797
16072.86865,541,,39.31667331,-121.6224614
7670.581952,542,,39.31647425,-121.6223696
21938.54433,543,,39.31494974,-121.6235678
16638.93675,544,,39.31439893,-121.6264522
31695.66734,545,,39.31393837,-121.626231
16461.27391,546,,39.31371804,-121.625883
6285.377149,547,A,39.31481868,-121.6245842
8851.443321,547,,39.31029562,-121.6274016
30803.79929,548,,39.31051471,-121.6269177
9463.502588,549,,39.30994181,-121.6265476
12120.68742,550,,39.30662256,-121.6288407
