PhysDataTblID,Location,Date,RiverMile,SpeciesCode,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode,Depth,Velocity,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,IcovA,IcovB,IcovC,IcovE,IcovF,Ocov0,Ocov1,Ocov2,SurTurb,CGU,Distance,FishAge,SpecAge
53,Hatchery  Ditch,2001-06-11,66.5,CHN,27,50,0,1.13,9.4,30,1.13,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,r,4,0,chn0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,7,50,0,0.77999997,9.4,30,1.13,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,r,4,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,9,45,0,1.65,15.4,26,1.4,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,r,4,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,CHN,10,60,0,1.65,15.4,26,1.4,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,r,4,0,chn0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,2,30,0,0.49000001,15.3,7,1.26,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,r,3,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,6,45,0,0.85000002,21.4,20,0.72,0,0,10,90,0,0,100,0,0,0,0,75,25,0,0,r,4,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,2,55,0,0.94,24.2,12,0.8,0,40,30,30,0,0,100,0,0,0,0,100,0,0,0,r,2,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,CHN,15,65,0,0.94,24.2,12,0.8,0,40,30,30,0,0,100,0,0,0,0,100,0,0,0,r,2,0,chn0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,9,45,0,1.42,15.4,26,1.4,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,r,4,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,CHN,7,50,0,1.42,15.4,26,1.4,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,r,4,0,chn0
54,Hatchery Riffle,2001-06-11,66.5,CHN,75,45,0,0,21.3,56,0,0,15,0,0,75,10,100,0,0,0,0,100,0,0,0,g,3,0,chn0
54,Hatchery Riffle,2001-06-11,66.5,CHN,25,60,0,0,21.3,56,0,0,15,0,0,75,10,100,0,0,0,0,100,0,0,0,g,3,0,chn0
57,Mathews Riffle,2001-06-11,64,RBTS,4,45,10,0.62,18.4,32,0.6,0,0,20,20,60,0,100,0,0,0,0,100,0,0,10,g,4,0,rbt0
58,Aleck Riffle,2001-06-11,63.5,RBTS,1,45,5,1.36,6.4,21,1.96,0,10,10,80,0,0,100,0,0,0,0,100,0,0,20,g,4,0,rbt0
58,Aleck Riffle,2001-06-11,63.5,SPD,10,35,5,1.36,6.4,21,1.96,0,10,10,80,0,0,100,0,0,0,0,100,0,0,20,g,4,0,
58,Aleck Riffle,2001-06-11,63.5,RBTS,1,40,5,1.36,9.3,20,1.54,0,10,10,60,20,0,100,0,0,0,0,100,0,0,0,g,3,0,rbt0
58,Aleck Riffle,2001-06-11,63.5,RBTS,1,40,10,1.25,12.4,30,0.85,0,0,20,80,0,0,100,0,0,0,0,100,0,0,30,g,4,0,rbt0
58,Aleck Riffle,2001-06-11,63.5,RBTS,2,60,10,0.57999998,21.4,35,0.73,0,0,20,40,40,0,100,0,0,0,0,100,0,0,15,g,4,0,rbt0
58,Aleck Riffle,2001-06-11,63.5,CHN,10,70,10,0.57999998,21.4,35,0.73,0,0,20,40,40,0,100,0,0,0,0,100,0,0,15,g,4,0,chn0
58,Aleck Riffle,2001-06-11,63.5,RBTS,2,45,10,0.57999998,21.4,35,0.73,0,0,20,40,40,0,100,0,0,0,0,100,0,0,15,g,4,0,rbt0
59,ROBINSON SIDE CHANNEL,2001-06-12,62,RBTS,1,55,10,0.41999999,12.3,28,0.9,0,10,90,0,0,0,85,0,0,15,0,100,0,0,15,g,3,0,rbt0
62,Steep Side Riffle,2001-06-12,61,CHN,3,80,0,0.55000001,9.1,55,0,0,100,0,0,0,0,30,20,0,50,0,0,50,50,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,35,20,0.60000002,3.1,24,0.78,0,80,20,0,0,0,85,15,0,0,0,85,10,5,10,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,35,7,0,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,2,35,10,0,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,5,40,10,0,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,CHN,3,40,3,0.86000001,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,35,3,0.86000001,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,50,45,0,0,6.1,32,0.48,80,10,10,0,0,0,65,10,0,5,20,10,20,70,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,5,35,0,0,9.1,21,0,0,70,20,10,0,0,80,20,0,0,0,0,60,40,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,3,40,0,0.85000002,12.1,36,0.86,40,40,0,0,0,20,80,20,0,0,0,0,20,80,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,CHN,3,45,0,0.47,12.3,39,1.29,20,80,0,0,0,0,70,20,0,10,0,100,0,0,0,g,3,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,40,3,0.77999997,12.3,39,1.29,20,80,0,0,0,0,70,20,0,10,0,100,0,0,0,g,3,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,40,5,0.31,15.1,19,0.68,0,80,0,20,0,0,90,0,0,10,0,20,0,80,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,1,35,5,0.31,15.1,19,0.68,0,80,0,20,0,0,90,0,0,10,0,20,0,80,0,g,1,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,2,25,5,0.31,15.1,19,0.68,0,80,0,20,0,0,90,0,0,10,0,20,0,80,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,2,40,5,1.63,15.4,41,1.5,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,g,4,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,4,40,5,0,18.1,23,0.58,20,60,20,0,0,0,80,10,0,10,0,10,45,45,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,3,25,10,0,18.1,23,0.58,20,60,20,0,0,0,80,10,0,10,0,10,45,45,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,2,25,10,0,21.1,25,0.6,0,80,20,0,0,0,80,10,0,10,0,80,10,10,0,g,1,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,10,35,10,0,21.1,25,0.6,0,80,20,0,0,0,80,10,0,10,0,80,10,10,0,g,1,0,chn0
