PDatID,FishDataID,Species,Count,FL..mm.,WaterDepth,DistToBottom,Focal.Velocity,AvVel,Substrate,I.CovCode,OCoverCodeID,X.SurfTurb,TCode,FishInTran,FocalClicks,AdjFocalVel,AvVelClicks,AdjAvVel
111,236,3,3,70,NA,10,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
111,237,3,5,70,NA,20,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
111,238,3,100,40,NA,20,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
111,239,1,60,30,NA,10,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
111,240,1,5,30,NA,10,0.25999999,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
111,241,3,20,80,NA,20,0.95999998,NA,NA,NA,NA,NA,21.2,0,NA,NA,NA,NA
111,242,3,100,40,NA,20,0.95999998,NA,NA,NA,NA,NA,21.2,0,NA,NA,NA,NA
111,243,3,100,50,NA,20,0.95999998,NA,NA,NA,NA,NA,21.2,0,NA,NA,NA,NA
111,244,3,7,55,NA,5,0.30000001,NA,NA,NA,NA,NA,21.4,0,NA,NA,NA,NA
111,245,1,10,30,NA,5,0.41999999,NA,NA,NA,NA,NA,21.2,0,NA,NA,NA,NA
111,246,1,20,30,NA,5,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
111,247,1,50,30,NA,5,0,NA,NA,NA,NA,NA,24.2,0,NA,NA,NA,NA
111,248,3,8,60,NA,5,1.39,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
112,249,3,25,45,NA,8,0.47,NA,NA,NA,NA,NA,24.3,0,NA,NA,NA,NA
113,250,3,1,40,NA,30,0,NA,NA,NA,NA,NA,0.3,0,NA,NA,NA,NA
113,251,3,15,45,NA,10,0,NA,NA,NA,NA,NA,9.2,0,NA,NA,NA,NA
113,252,3,35,45,NA,20,0,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
113,253,3,10,35,NA,20,0,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
113,254,1,1,30,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
114,255,1,1,30,NA,5,0,NA,NA,NA,NA,NA,0.4,0,NA,NA,NA,NA
114,256,3,3,40,NA,5,0,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA
114,257,3,8,40,NA,5,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
114,258,1,1,30,NA,5,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
115,259,3,2,45,NA,5,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
115,260,1,1,25,NA,5,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
115,261,3,5,45,NA,1,0,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
115,262,1,1,30,NA,5,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
115,263,3,6,35,NA,15,0,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
116,264,3,15,40,NA,5,0,NA,NA,NA,NA,NA,0.4,0,NA,NA,NA,NA
116,265,3,5,40,NA,5,0,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
116,266,3,40,45,NA,5,0,NA,NA,NA,NA,NA,3.4,0,NA,NA,NA,NA
116,267,3,80,50,NA,1,0,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
116,268,1,1,25,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
116,269,1,100,50,NA,10,0,NA,NA,NA,NA,NA,18.3,0,NA,NA,NA,NA
117,270,1,1,25,NA,5,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
