year,location,surveyed,survey_week
2017,cottonwood,TRUE,4
2017,cottonwood,TRUE,5
2017,cottonwood,TRUE,6
2017,cottonwood,TRUE,7
2017,cottonwood,TRUE,8
2017,cottonwood,TRUE,9
2017,cottonwood,TRUE,10
2017,cottonwood,TRUE,11
2017,hatchery,TRUE,1
2017,hatchery,TRUE,2
2017,hatchery,TRUE,3
2017,hatchery,TRUE,4
2017,hatchery,TRUE,5
2017,hatchery,TRUE,6
2017,hatchery,TRUE,7
2017,hatchery,TRUE,8
2017,hatchery,TRUE,9
2017,hatchery,TRUE,10
2017,hatchery,TRUE,11
2017,hatcherypipe,FALSE,NA
2017,hatcherysidechannel,TRUE,1
2017,hatcherysidechannel,TRUE,2
2017,hatcherysidechannel,TRUE,3
2017,hatcherysidechannel,TRUE,4
2017,hatcherysidechannel,TRUE,5
2017,hatcherysidechannel,TRUE,6
2017,hatcherysidechannel,TRUE,7
2017,hatcherysidechannel,TRUE,8
2017,hatcherysidechannel,TRUE,9
2017,hatcherysidechannel,TRUE,10
2017,hatcherysidechannel,TRUE,11
2017,lowerauditorium,TRUE,1
2017,lowerauditorium,TRUE,2
2017,lowerauditorium,TRUE,3
2017,lowerauditorium,TRUE,4
2017,lowerauditorium,TRUE,5
2017,lowerauditorium,TRUE,6
2017,lowerauditorium,TRUE,7
2017,lowerauditorium,TRUE,8
2017,lowerauditorium,TRUE,9
2017,lowerauditorium,TRUE,10
2017,lowerauditorium,TRUE,11
2017,lowertablemountain,TRUE,9
2017,lowertablemountain,TRUE,11
2017,middleauditorium,TRUE,1
2017,middleauditorium,TRUE,2
2017,middleauditorium,TRUE,3
2017,middleauditorium,TRUE,4
2017,middleauditorium,TRUE,5
2017,middleauditorium,TRUE,6
2017,middleauditorium,TRUE,7
2017,middleauditorium,TRUE,8
2017,middleauditorium,TRUE,9
2017,middleauditorium,TRUE,10
2017,middleauditorium,TRUE,11
2017,moessidechannel,TRUE,1
2017,moessidechannel,TRUE,2
2017,moessidechannel,TRUE,3
2017,moessidechannel,TRUE,4
2017,moessidechannel,TRUE,5
2017,moessidechannel,TRUE,6
2017,moessidechannel,TRUE,7
2017,moessidechannel,TRUE,8
2017,moessidechannel,TRUE,9
2017,moessidechannel,TRUE,10
2017,moessidechannel,TRUE,11
2017,tablemountain,TRUE,9
2017,tablemountain,TRUE,11
2017,topofauditorium,TRUE,1
2017,topofauditorium,TRUE,2
2017,topofauditorium,TRUE,3
2017,topofauditorium,TRUE,4
2017,topofauditorium,TRUE,5
2017,topofauditorium,TRUE,6
2017,topofauditorium,TRUE,7
2017,topofauditorium,TRUE,8
2017,topofauditorium,TRUE,9
2017,topofauditorium,TRUE,10
2017,topofauditorium,TRUE,11
2017,topofhatchery,TRUE,1
2017,topofhatchery,TRUE,2
2017,topofhatchery,TRUE,3
2017,topofhatchery,TRUE,4
2017,topofhatchery,TRUE,5
2017,topofhatchery,TRUE,6
2017,topofhatchery,TRUE,7
2017,topofhatchery,TRUE,8
2017,topofhatchery,TRUE,9
2017,topofhatchery,TRUE,10
2017,topofhatchery,TRUE,11
2017,upperauditorium,TRUE,1
2017,upperauditorium,TRUE,2
2017,upperauditorium,TRUE,3
2017,upperauditorium,TRUE,4
2017,upperauditorium,TRUE,5
2017,upperauditorium,TRUE,6
2017,upperauditorium,TRUE,7
2017,upperauditorium,TRUE,8
2017,upperauditorium,TRUE,9
2017,upperauditorium,TRUE,10
2017,upperauditorium,TRUE,11
2017,uppercottonwood,TRUE,1
2017,uppercottonwood,TRUE,2
2017,uppercottonwood,TRUE,3
2017,uppercottonwood,TRUE,4
2017,uppercottonwood,TRUE,5
2017,uppercottonwood,TRUE,6
2017,uppercottonwood,TRUE,7
2017,uppercottonwood,TRUE,8
2017,uppercottonwood,TRUE,9
2017,uppercottonwood,TRUE,10
2017,uppercottonwood,TRUE,11
2017,upperhatchery,TRUE,1
2017,upperhatchery,TRUE,2
2017,upperhatchery,TRUE,3
2017,upperhatchery,TRUE,4
2017,upperhatchery,TRUE,5
2017,upperhatchery,TRUE,6
2017,upperhatchery,TRUE,7
2017,upperhatchery,TRUE,8
2017,upperhatchery,TRUE,9
2017,upperhatchery,TRUE,10
2017,upperhatchery,TRUE,11
2017,belowbigholeeast,TRUE,3
2017,belowbigholeeast,TRUE,7
2017,belowbigholeeast,TRUE,9
2017,belowbigholeeast,TRUE,11
2017,belowbigholeeast,TRUE,12
2017,bigbar,TRUE,3
2017,bigbar,TRUE,7
2017,bigbar,TRUE,9
2017,bigbar,TRUE,11
2017,bigbar,TRUE,12
2017,bigholeeast,TRUE,3
2017,bigholeeast,TRUE,7
2017,bigholeeast,TRUE,9
2017,bigholeeast,TRUE,11
2017,bigholeeast,TRUE,12
2017,bigholewest,TRUE,3
2017,bigholewest,TRUE,7
2017,bigholewest,TRUE,9
2017,bigholewest,TRUE,11
2017,bigholewest,TRUE,12
2017,developing,TRUE,3
2017,developing,TRUE,7
2017,developing,TRUE,9
2017,developing,TRUE,11
2017,developing,TRUE,12
2017,g95eastsidechannelbottom,TRUE,3
2017,g95eastsidechannelbottom,TRUE,7
2017,g95eastsidechannelbottom,TRUE,9
2017,g95eastsidechannelbottom,TRUE,11
2017,g95eastsidechannelbottom,TRUE,12
2017,g95eastsidechanneltop,TRUE,3
2017,g95eastsidechanneltop,TRUE,7
2017,g95eastsidechanneltop,TRUE,9
2017,g95eastsidechanneltop,TRUE,11
2017,g95eastsidechanneltop,TRUE,12
2017,g95main,TRUE,3
2017,g95main,TRUE,7
2017,g95main,TRUE,9
2017,g95main,TRUE,11
2017,g95main,TRUE,12
2017,g95westsidechannel,TRUE,3
2017,g95westsidechannel,TRUE,7
2017,g95westsidechannel,TRUE,9
2017,g95westsidechannel,TRUE,11
2017,g95westsidechannel,TRUE,12
2017,goose,TRUE,3
2017,goose,TRUE,7
2017,goose,TRUE,9
2017,goose,TRUE,11
2017,goose,TRUE,12
2017,keister,TRUE,3
2017,keister,TRUE,7
2017,keister,TRUE,9
2017,keister,TRUE,11
2017,keister,TRUE,12
2017,lowerbig,TRUE,3
2017,lowerbig,TRUE,7
2017,lowerbig,TRUE,9
2017,lowerbig,TRUE,11
2017,lowerbig,TRUE,12
2017,lowerhour,TRUE,3
2017,lowerhour,TRUE,7
2017,lowerhour,TRUE,9
2017,lowerhour,TRUE,11
2017,lowerhour,TRUE,12
2017,lowermcfarland,TRUE,3
2017,lowermcfarland,TRUE,7
2017,lowermcfarland,TRUE,9
2017,lowermcfarland,TRUE,11
2017,lowermcfarland,TRUE,12
2017,lowervanceeast,TRUE,3
2017,lowervanceeast,TRUE,7
2017,lowervanceeast,TRUE,9
2017,lowervanceeast,TRUE,11
2017,lowervanceeast,TRUE,12
2017,palm,TRUE,3
2017,palm,TRUE,7
2017,palm,TRUE,9
2017,palm,TRUE,11
2017,palm,TRUE,12
2017,upperhour,TRUE,3
2017,upperhour,TRUE,7
2017,upperhour,TRUE,9
2017,upperhour,TRUE,11
2017,upperhour,TRUE,12
2017,uppermcfarland,TRUE,3
2017,uppermcfarland,TRUE,7
2017,uppermcfarland,TRUE,9
2017,uppermcfarland,TRUE,11
2017,uppermcfarland,TRUE,12
2017,vanceeast,TRUE,3
2017,vanceeast,TRUE,7
2017,vanceeast,TRUE,9
2017,vanceeast,TRUE,11
2017,vanceeast,TRUE,12
2017,vancewest,TRUE,3
2017,vancewest,TRUE,7
2017,vancewest,TRUE,9
2017,vancewest,TRUE,11
2017,vancewest,TRUE,12
2017,aleck,TRUE,1
2017,aleck,TRUE,2
2017,aleck,TRUE,4
2017,aleck,TRUE,5
2017,aleck,TRUE,6
2017,aleck,TRUE,7
2017,aleck,TRUE,8
2017,aleck,TRUE,9
2017,aleck,TRUE,10
2017,aleck,TRUE,11
2017,eyesidechannel,TRUE,1
2017,eyesidechannel,TRUE,2
2017,eyesidechannel,TRUE,4
2017,eyesidechannel,TRUE,5
2017,eyesidechannel,TRUE,6
2017,eyesidechannel,TRUE,7
2017,eyesidechannel,TRUE,8
2017,eyesidechannel,TRUE,9
2017,eyesidechannel,TRUE,10
2017,eyesidechannel,TRUE,11
2017,gateway,TRUE,1
2017,gateway,TRUE,2
2017,gateway,TRUE,4
2017,gateway,TRUE,5
2017,gateway,TRUE,6
2017,gateway,TRUE,7
2017,gateway,TRUE,8
2017,gateway,TRUE,9
2017,gateway,TRUE,10
2017,gateway,TRUE,11
2017,greatwestern,TRUE,1
2017,greatwestern,TRUE,2
2017,greatwestern,TRUE,4
2017,greatwestern,TRUE,5
2017,greatwestern,TRUE,6
2017,greatwestern,TRUE,7
2017,greatwestern,TRUE,8
2017,greatwestern,TRUE,9
2017,greatwestern,TRUE,10
2017,greatwestern,TRUE,11
2017,lowerrobinson,TRUE,1
2017,lowerrobinson,TRUE,2
2017,lowerrobinson,TRUE,4
2017,lowerrobinson,TRUE,5
2017,lowerrobinson,TRUE,6
2017,lowerrobinson,TRUE,7
2017,lowerrobinson,TRUE,8
2017,lowerrobinson,TRUE,9
2017,lowerrobinson,TRUE,10
2017,lowerrobinson,TRUE,11
2017,mathews,TRUE,1
2017,mathews,TRUE,2
2017,mathews,TRUE,4
2017,mathews,TRUE,5
2017,mathews,TRUE,6
2017,mathews,TRUE,7
2017,mathews,TRUE,8
2017,mathews,TRUE,9
2017,mathews,TRUE,10
2017,mathews,TRUE,11
2017,steep,TRUE,1
2017,steep,TRUE,2
2017,steep,TRUE,4
2017,steep,TRUE,5
2017,steep,TRUE,6
2017,steep,TRUE,7
2017,steep,TRUE,8
2017,steep,TRUE,9
2017,steep,TRUE,10
2017,steep,TRUE,11
2017,steepsidechannel,TRUE,1
2017,steepsidechannel,TRUE,2
2017,steepsidechannel,TRUE,4
2017,steepsidechannel,TRUE,5
2017,steepsidechannel,TRUE,6
2017,steepsidechannel,TRUE,7
2017,steepsidechannel,TRUE,8
2017,steepsidechannel,TRUE,9
2017,steepsidechannel,TRUE,10
2017,steepsidechannel,TRUE,11
2017,trailerpark,TRUE,1
2017,trailerpark,TRUE,2
2017,trailerpark,TRUE,4
2017,trailerpark,TRUE,5
2017,trailerpark,TRUE,6
2017,trailerpark,TRUE,7
2017,trailerpark,TRUE,8
2017,trailerpark,TRUE,9
2017,trailerpark,TRUE,10
2017,trailerpark,TRUE,11
2017,uppermathews,TRUE,1
2017,uppermathews,TRUE,2
2017,uppermathews,TRUE,4
2017,uppermathews,TRUE,5
2017,uppermathews,TRUE,6
2017,uppermathews,TRUE,7
2017,uppermathews,TRUE,8
2017,uppermathews,TRUE,9
2017,uppermathews,TRUE,10
2017,uppermathews,TRUE,11
2017,upperrobinson,TRUE,1
2017,upperrobinson,TRUE,2
2017,upperrobinson,TRUE,4
2017,upperrobinson,TRUE,5
2017,upperrobinson,TRUE,6
2017,upperrobinson,TRUE,7
2017,upperrobinson,TRUE,8
2017,upperrobinson,TRUE,9
2017,upperrobinson,TRUE,10
2017,upperrobinson,TRUE,11
2017,weir,TRUE,1
2017,weir,TRUE,2
2017,weir,TRUE,4
2017,weir,TRUE,5
2017,weir,TRUE,6
