survey_id,date,unit,species,count,fork_length,substrate,instream_cover,overhead_cover,water_depth_m,tagged,clipped
13,2005-06-21,30,Steelhead Trout,2,NA,NA,NA,NA,NA,FALSE,TRUE
13,2005-06-21,30,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
13,2005-06-21,31,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
13,2005-06-21,31,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
13,2005-06-21,29A,Rainbow Trout,31,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,29A,Chinook Salmon,55,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,29,Rainbow Trout,67,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,29,Chinook Salmon,225,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,32A,Chinook Salmon,4400,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,32,Rainbow Trout,12,NA,NA,NA,NA,NA,FALSE,FALSE
13,2005-06-21,32,Chinook Salmon,500,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Chinook Salmon,63,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Chinook Salmon,14,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Rainbow Trout,12,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Rainbow Trout,3,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Chinook Salmon,15,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Chinook Salmon,110,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Rainbow Trout,15,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,33,Rainbow Trout,39,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,26,Chinook Salmon,83,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,26,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,26,Rainbow Trout,49,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,26,Rainbow Trout,11,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,25,Chinook Salmon,45,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,24,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,24,Steelhead Trout,2,NA,NA,NA,NA,NA,FALSE,TRUE
14,2005-07-12,24,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
14,2005-07-12,32,Chinook Salmon,500,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,32,Rainbow Trout,16,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,32A,Chinook Salmon,35,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,32A,Rainbow Trout,10,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,31,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,31,Chinook Salmon,7,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,170,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
14,2005-07-12,30,Rainbow Trout,6,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,30,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,29,Rainbow Trout,4,NA,NA,NA,NA,NA,FALSE,FALSE
14,2005-07-12,29A,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
15,2005-07-13,170,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
15,2005-07-13,174,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
15,2005-07-13,174,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
15,2005-07-13,173,Rainbow Trout,3,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,173,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,189,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,217,Rainbow Trout,4,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,217,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,185,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
15,2005-07-13,185,Chinook Salmon,3,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,189,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,189,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,215A,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,215A,Rainbow Trout,3,NA,NA,NA,NA,NA,FALSE,FALSE
15,2005-07-13,216,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
15,2005-07-13,216,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
16,2005-08-09,19,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,19,Rainbow Trout,6,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,19,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,19,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,24,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,29A,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,31,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,31,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,31A,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
16,2005-08-09,31A,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
16,2005-08-09,19,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,25,Chinook Salmon,5,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,25,Steelhead Trout,3,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,25,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
16,2005-08-09,32,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Rainbow Trout,69,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Rainbow Trout,39,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Chinook Salmon,104,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Chinook Salmon,95,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Rainbow Trout,15,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Rainbow Trout,5,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Chinook Salmon,6,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,33,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Chinook Salmon,25,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Rainbow Trout,23,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Rainbow Trout,20,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Chinook Salmon,25,NA,NA,NA,NA,NA,FALSE,FALSE
16,2005-08-09,26,Rainbow Trout,15,NA,NA,NA,NA,NA,FALSE,FALSE
17,2005-05-23,30,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
17,2005-05-23,30,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
17,2005-05-23,30,Steelhead Trout,2,NA,NA,NA,NA,NA,FALSE,TRUE
