unit,unit_sub_level,channel_type,river_mile,area_sq_m,latitude,longitude
320,NA,HFC,10,13442.37987,39.43188995,-121.6321839
321,NA,HFC,10,5057.580815,39.43225319,-121.631819
322,NA,HFC,10,5152.374613,39.43272805,-121.6323164
323,A,HFC,10,4421.745445,39.43039654,-121.6315224
323,B,HFC,10,7019.813981,39.43051316,-121.6313888
324,NA,HFC,10,5453.838555,39.43070593,-121.630688
325,NA,HFC,10,16843.56289,39.43118736,-121.6308851
326,NA,HFC,10,5985.787632,39.43138634,-121.6304855
327,NA,HFC,10,6480.443968,39.42955551,-121.6293001
328,NA,HFC,10,19180.35975,39.43031947,-121.6298308
329,NA,HFC,10,4810.053184,39.43001011,-121.6290372
329,B,HFC,10,4137.928402,39.43021141,-121.6284057
330,NA,HFC,10,10823.45335,39.43083218,-121.6292912
331,NA,HFC,10,7945.233502,39.4305361,-121.6279019
332,NA,HFC,11,4497.710323,39.42817675,-121.6267859
333,NA,HFC,11,7944.746379,39.4286253,-121.6271435
334,NA,HFC,11,3411.451887,39.42882933,-121.6270974
334,NA,HFC,11,958.7458308,39.42853662,-121.6262851
335,NA,HFC,11,772.4318944,39.42872436,-121.6261168
335,NA,HFC,11,3010.168699,39.42954815,-121.6267782
336,NA,HFC,11,4216.0154,39.42963897,-121.6266651
337,NA,HFC,11,2705.244261,39.42974333,-121.6265943
338,NA,HFC,11,8958.843915,39.42700086,-121.625449
339,NA,HFC,11,21066.72581,39.42706956,-121.6250525
340,NA,HFC,11,6627.21021,39.42842669,-121.6259895
341,NA,HFC,11,10925.77024,39.42729355,-121.6246765
342,NA,HFC,11,8433.794039,39.42511635,-121.6244063
343,NA,HFC,11,20507.61126,39.42527573,-121.6239364
344,NA,HFC,11,8970.986767,39.42612983,-121.6236437
345,NA,HFC,11,7538.69279,39.42283172,-121.6247083
346,NA,HFC,11,18529.42666,39.42334363,-121.6240815
347,NA,HFC,11,9920.692514,39.42324599,-121.6236216
348,NA,HFC,11,8709.841412,39.42203527,-121.6247112
349,NA,HFC,11,1633.908067,39.42195817,-121.6243575
350,NA,HFC,11,4086.629186,39.42154714,-121.6248891
351,NA,HFC,11,6794.307564,39.42113576,-121.6240594
352,NA,HFC,11,5136.207171,39.42146336,-121.6239395
353,NA,HFC,11,5904.157984,39.42149617,-121.626201
354,NA,HFC,11,9260.686308,39.42211967,-121.6253639
355,NA,HFC,11,5830.958782,39.42168082,-121.6255688
356,NA,HFC,11,3846.569382,39.41941397,-121.6265289
357,NA,HFC,11,7065.387177,39.41921173,-121.6264439
358,NA,HFC,11,4785.102221,39.4193107,-121.626199
359,NA,HFC,11,2985.578335,39.41989373,-121.6243669
360,NA,HFC,11,7495.882978,39.41993753,-121.6241646
361,NA,HFC,11,4202.017255,39.4198538,-121.6239827
362,NA,HFC,11,7714.229159,39.4174224,-121.62766740000001
363,NA,HFC,11,9498.262902,39.41788379,-121.627239
364,NA,HFC,11,6238.503032,39.41774644,-121.627034
365,NA,HFC,11,6581.53433,39.41716439,-121.6261819
366,NA,HFC,11,13366.53354,39.41755887,-121.6253098
367,NA,HFC,11,6113.817411,39.41761502,-121.6249099
368,NA,HFC,11,7036.223238,39.41683288,-121.6270371
369,NA,HFC,11,8952.99842,39.4166421,-121.6265056
370,NA,HFC,11,3012.246305,39.41653191,-121.6259971
371,NA,HFC,12,5922.136975,39.41582125,-121.6282509
372,NA,HFC,12,7856.289032,39.4158379,-121.6277907
373,NA,HFC,12,13131.44384,39.41588018,-121.6271369
374,NA,HFC,12,6093.35031,39.4156091,-121.6266903
375,NA,HFC,12,8938.162781,39.41426973,-121.628439
376,NA,HFC,12,14151.47062,39.41412462,-121.6281344
377,NA,HFC,12,6871.10456,39.41415467,-121.6278569
378,NA,HFC,12,5387.314186,39.41196723,-121.6279943
379,NA,HFC,12,12008.85418,39.41194924,-121.6276598
380,NA,HFC,12,9846.202907,39.41203233,-121.627158
381,NA,HFC,12,6448.598381,39.41051765,-121.626485
382,NA,HFC,12,14488.76691,39.41061082,-121.6261884
383,NA,HFC,12,17087.52703,39.41131616,-121.6264755
384,NA,HFC,12,12058.27209,39.41112891,-121.6254587
385,NA,HFC,12,8463.022336,39.40913816,-121.6248063
386,NA,HFC,12,14869.71988,39.40941849,-121.6244932
386,NA,HFC,12,6125.989869,39.40994899,-121.6238305
387,NA,HFC,12,10262.61899,39.40972274,-121.6240959
389,NA,HFC,12,5569.92299,39.40851509,-121.6227429
390,NA,HFC,12,17044.92428,39.40886202,-121.6226691
391,NA,HFC,12,5068.643969,39.40907322,-121.6223094
392,NA,HFC,12,3597.390951,39.40815733,-121.6209816
393,NA,HFC,12,8217.402947,39.40845299,-121.6209637
394,NA,HFC,12,3338.163985,39.40876589,-121.6209004
395,NA,HFC,12,2458.415499,39.40921707,-121.6206758
396,NA,HFC,12,7253.983228,39.4079581,-121.6191781
397,NA,HFC,12,26484.00591,39.40847133,-121.6190372
398,NA,HFC,12,13050.09254,39.40902378,-121.6191174
399,NA,HFC,12,1524.246265,39.40782003,-121.6180365
400,NA,HFC,12,2845.835314,39.40804274,-121.6183611
401,NA,HFC,13,20487.63468,39.40799048,-121.6171213
402,NA,HFC,13,12024.96472,39.40831012,-121.6165296
403,NA,HFC,13,4353.968544,39.40747873,-121.6174336
404,NA,HFC,13,2075.293704,39.40738503,-121.6169699
405,NA,HFC,13,4905.023004,39.40569815,-121.6169705
406,NA,HFC,13,12222.25682,39.40635708,-121.616619
407,NA,HFC,13,8366.348939,39.40616353,-121.6163281
408,NA,HFC,13,5256.977773,39.4048771,-121.6178504
409,NA,HFC,13,14242.05573,39.40464102,-121.6176479
410,NA,HFC,13,5881.79752,39.40494773,-121.6168861
411,NA,HFC,13,11872.84798,39.40264283,-121.6192373
412,NA,HFC,13,24399.57573,39.40229898,-121.6190093
413,NA,HFC,13,13080.94405,39.40250641,-121.6186505
417,NA,HFC,13,11536.30374,39.39806996,-121.6204698
418,NA,HFC,13,28145.37841,39.39788801,-121.6201629
419,NA,HFC,13,19851.33,39.39803492,-121.6196516
420,NA,HFC,13,15228.76083,39.39797661,-121.6188592
421,NA,HFC,13,13323.97166,39.39582282,-121.6219102
422,NA,HFC,13,26476.60579,39.39575164,-121.6213523
423,NA,HFC,13,9721.554428,39.395873,-121.6207584
424,NA,HFC,14,8843.90021,39.39307607,-121.6226533
425,NA,HFC,14,21554.20568,39.39318693,-121.6222734
426,NA,HFC,14,10560.74404,39.3933909,-121.6218433
427,NA,HFC,14,12609.77606,39.39037146,-121.6242597
428,NA,HFC,14,34187.57364,39.39022762,-121.6238881
