date,sample_shape
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
1998-10-14,box seine technique
